;Enestrom Number;Fuss Index;Title;English Title;Authors;Original Language;Published as;Published Date;Written Date;Original Source Citation;Archive Notes;Content Summary;Opera Omnia Citation;Record Created;URLinfo;URLpdf
361;362;741;Corrections nécessaires pour la théorie de la déclinaison magnétique, proposée dans le XIII volume des Mémoires;Necessary corrections to the theory of magnetic declination, which was proposed in Volume XIII of the Mémoires;Leonhard Euler;French;Journal article;1768;1765;Mémoires de l'académie des sciences de Berlin, Volume 22, pp. 213-264.;;;Series 3, Volume 10.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/362;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1361&context=euler-works
362;363;690;Précis d'une théorie générale de la dioptrique;Notebook concerning a general theory of dioptrics;Leonhard Euler;French;Journal article;1768;1765;Mémoires de l'académie royale des sciences de Paris, Volume 1765, pp. 555-575.;;;Series 3, Volume 7, pp.178-198.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/363;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1362&context=euler-works
363;364;;Lettre écrite à l'académie royale des sciences et belles-lettres de Berlin;Letter written to the Royal Academy of Sciences in Berlin;Leonhard Euler;French?;Published letter;1768;1768;Gazette littéraire de Berlin, Volume 1768, pp. 385-386.;;This letter concerns Dioptrica and Theoria motuum lunae, two works of Euler's that were under attack at the time.;Series 3, Volume 7, pp.198-199.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/364;
364;365;;Extraits de quelques lettres d'Euler à d'Alembert;Extracts from several letters by Euler to d'Alembert;Leonhard Euler;French?;Published letter;1768;1748, 1750, 1763;Opuscules mathématiques, Volume 4, pp. 342-343, 146, 162.;;;Series 2, Volume 11, pp.1-2.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/365;
365;366;200b;Institutionum calculi integralis volumen secundum;Foundations of integral calculus, volume 2;Leonhard Euler;Latin;Quarto book;1769;1763;St. Petersburg: Imperial Academy of Sciences, Volume 1, pp. 1-526.;The Euler Archive has a PDF file of the third edition, published by the St. Petersburg Academy in 1827.;E342;Series 1, Volume 12, pp.1-542.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/366;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1365&context=euler-works
366;367;689a;Dioptricae pars prima, continens librum primum, de explicatione principiorum ex quibus constructio tam telescopiorum quam microscopiorum est petenda;Optics, part 1;Leonhard Euler;Latin;Quarto book;1769;1768;St. Petersburg: Imperial Academy of Sciences, Volume 1, pp. 1-337.;According to N. Fuss, this work, which is assembled out of a large number of earlier treatises, was edited by W. L. Krafft.;;Series 3, Volume 3, pp.1-261.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/367;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1366&context=euler-works
367;368;368;De curva hypergeometrica hac aequatione expressa y = 1.2.3.....x;On a hyperbolic curve expressed by this equation y = 1.2.3.....x;Leonhard Euler;Latin;Journal article;1769;1765;Novi Commentarii academiae scientiarum Petropolitanae, Volume 13, pp. 3-66.;;Euler discusses the Gamma function some more, though he denotes it P(x). He evaluates P(x), along with P'(x), at x = 1/2, 3/2 and 5/2.;Series 1, Volume 28, pp.41-98.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/368;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1367&context=euler-works
368;369;26;Quomodo numeri praemagni sint explorandi, utrum sint primi necne;How very large numbers are to be tested for whether they are prime or not;Leonhard Euler;Latin;Journal article;1769;1765;Novi Commentarii academiae scientiarum Petropolitanae, Volume 13, pp. 67-88.;;Euler uses representations in the form xx+yy to determine whether or not numbers are prime. He finds factors of several large numbers. He also presents several theorems, without proofs, about the forms of x that allow xx+yy to satisfy certain congruences.;Series 1, Volume 3, pp.112-130.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/369;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1368&context=euler-works
369;370;109;Nova criteria radices aequationum imaginarias discoscendi;A new criteria for acquiring the imaginary roots of equations;Leonhard Euler;Latin;Journal article;1769;1767;Novi Commentarii academiae scientiarum Petropolitanae, Volume 13, pp. 89-119.;;;Series 1, Volume 6, pp.212-239.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/370;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1369&context=euler-works
370;371;643;Considerationes de theoria motus Lunae perficienda et imprimis de eius variatione;Considerations on completing the theory of the motion of the moon and especially of its variation;Leonhard Euler;Latin;Journal article;1769;1763;Novi Commentarii academiae scientiarum Petropolitanae, Volume 13, pp. 120-158.;;;Series 2, Volume 24.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/371;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1370&context=euler-works
371;372;610;Annotatio quarundam cautelarum in investigatione inaequalitatum quibus corpora coelestia in motu perturbantur observandarum;Note of certain precautions to be taken in the investigation of the inequalities by which the heavenly bodies are perturbed in their motion;Leonhard Euler;Latin;Journal article;1769;1763;Novi Commentarii academiae scientiarum Petropolitanae, Volume 13, pp. 159-201.;;;Series 2, Volume 26.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/372;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1371&context=euler-works
372;373;629;Investigatio accuratior phaenomenorum quae in motu terrae diurno a viribus coelestibus produce possunt;More accurate investigation of the phenomena which can be produced in the diurnal motion of the earth by celestial forces;Leonhard Euler;Latin;Journal article;1769;1763;Novi Commentarii academiae scientiarum Petropolitanae, Volume 13, pp. 202-241.;;;Series 2, Volume 26.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/373;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1372&context=euler-works
373;374;461;De aequilibrio et motu corporum flexuris elasticis iunctorum;On the equilibrium and motion of bodies connected by flexible curves;Leonhard Euler;Latin;Journal article;1769;1763;Novi Commentarii academiae scientiarum Petropolitanae, Volume 13, pp. 259-304.;According to Jacobi, a treatise with this title was read to the Berlin Academy on December 1, 1763. According to the St. Petersburg Academy records, it was presented to that Academy on August 23, 1764.;;Series 2, Volume 11, pp.3-36.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/374;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1373&context=euler-works
374;375;563;Sectio prima de statu aequilibrii fluidorum;First section on the state of equilibrium of fluids;Leonhard Euler;Latin;Journal article;1769;1766;Novi Commentarii academiae scientiarum Petropolitanae, Volume 12, pp. 305-416.;;;Series 2, Volume 13, pp.1-72.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/375;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1374&context=euler-works
375;376;704;Considérations sur les difficultés qu'on rencontre dans l'exécution des verres objectifs délivrés de toute confusion;Considerations on the difficulties encountered in the manufacture of objective lenses, delivered from all confusion;Leonhard Euler;French;Journal article;1769;1761;Mémoires de l'académie des sciences de Berlin, Volume 18, pp. 117-142.;;;Series 3, Volume 8, pp.1-25.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/376;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1375&context=euler-works
376;377;730;Recherches sur les télescopes à réflexion et les moyens de les perfectionner;Research into reflective telescopes and the methods by which to perfect them;Leonhard Euler;French;Journal article;1769;1762;Mémoires de l'académie des sciences de Berlin, Volume 18, pp. 143-184.;;;Series 3, Volume 8, pp.26-63.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/377;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1376&context=euler-works
377;378;731;Recherches sur un autre construction des télescopes à réflexion;Research into an alternative construction of reflecting telescopes;Leonhard Euler;French;Journal article;1769;1762;Mémoires de l'académie des sciences de Berlin, Volume 18, pp. 185-194.;"According to Jacobi, another treatise, ""Sur les moyens de procurer aux télescopes à réflexion un plus grand champ,"" was presented on the same day as this one. Its current location is unknown.";;Series 3, Volume 8, pp.64-73.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/378;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1377&context=euler-works
378;379;705;Sur la confusion que cause dans les instrumens dioptriques la diverse réfrangibilité des rayons;Concerning the confusion which exists in dioptical instruments due to the diverse refrangibility of light rays;Leonhard Euler;French;Journal article;1769;1762;Mémoires de l'académie des sciences de Berlin, Volume 18, pp. 195-225.;;;Series 3, Volume 8, pp.74-101.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/379;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1378&context=euler-works
379;380;709;Considérations sur les nouvelles lunettes d'Angleterre de Mr. Dollond et sur le principe qui en est le fondement;Concerning the new English glasses of Mr. Dolland and the principle on which they are based;Leonhard Euler;French;Journal article;1769;1762;Mémoires de l'académie des sciences de Berlin, Volume 18, pp. 226-248.;;;Series 3, Volume 8, pp.102-121.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/380;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1379&context=euler-works
380;381;715;Sur les avantages des verres objectifs composés de deux verres simples;On the advantages of objective lenses composed of two simple lenses;Leonhard Euler;French;Journal article;1769;1769;Mémoires de l'académie des sciences de Berlin, Volume 18, pp. 249-264.;;;Series 3, Volume 8, pp.122-135.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/381;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1380&context=euler-works
381;382;551;Remarques sur l'effet du frottement dans l'équilibre;Remarks on the effect of friction on equilibrium;Leonhard Euler;French;Journal article;1769;1758;Mémoires de l'académie des sciences de Berlin, Volume 18, pp. 265-278.;;;Series 2, Volume 8, pp.357-368.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/382;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1381&context=euler-works
382;383;718;Méthode pour porter les verres objectifs des lunettes à un plus haut degré de perfection;Method to bring the objective lenses of glasses to a very high degree of perfection;Leonhard Euler;French;Journal article;1769;1769;Mémoires de l'académie des sciences de Berlin, Volume 23, pp. 131-164.;;;Series 3, Volume 8, pp.136-166.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/383;
383;384;657;Recherches sur les inégalités de Jupiter et de Saturne;Research on the inequalities of Jupiter and Saturn;Leonhard Euler;French;Paris prize article;1769;1751;Recueil des pièces qui ont remporté les prix de l'académie royale des sciences, Volume 7, pp. 1-84.;;;Series 2, Volume 26.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/384;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1383&context=euler-works
384;385;200c;Institutionum calculi integralis volumen tertium;Foundations of integral calculus, volume 3;Leonhard Euler;Latin;Journal book;1770;1763;St. Petersburg: Imperial Academy of Sciences, Volume 3, pp. 1-639.;;E342;Series 1, Volume 13, pp.1-508.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/385;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1384&context=euler-works
385;386;689b;Dioptricae pars secunda, continens librum secundum, de constructione telescopiorum dioptricorum cum appendice de constructione telescopiorum catoptrico-dioptricorum;Optics, part 2;Leonhard Euler;Latin;Journal book;1770;1768;St. Petersburg: Imperial Academy of Sciences, Volume 2, pp. 1-592.;;"Part 2 of Dioptricae contains three sections: (I) De telescopiis primi generis, quae lente oculari instructa, obiecta situ erecto repraesentant; (II) De telescopiis secundi generis, quae lente oculari conuexa instructa, obiecta situ inuerso repraesentant; (III) De telescopiis tertii generis, quibus obiecta iterum situ erecto repraesentantur. There is also an appendix: De constructione telescopiorum catoptrico-dioptricorum.";Series 3, Volume 2018-03-04.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/386;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1385&context=euler-works
386;387;86a;Vollständige Anleitung zur Algebra, Erster Theil;Complete instruction in algebra, book 1;Leonhard Euler;German;Journal book;1770;1767;St. Petersburg: Imperial Academy of Sciences, Volume 1, pp. 1-356.;The Euler Archive has a PDF of a 1920 German edition, as well as an 1822 English translation.;;Series 1, Volume 1, pp.1-208.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/387;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1386&context=euler-works
387;388;86b;Vollständige Anleitung zur Algebra, Zweyter Theil;Complete instruction in algebra, book 2;Leonhard Euler;German;Journal book;1770;1767;St. Petersburg: Imperial Academy of Sciences, Volume 2, pp. 1-532.;The Euler Archive has a PDF of a 1920 German edition, as well as an 1822 English translation.;;Series 1, Volume 1, pp.209-498.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/388;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1387&context=euler-works
388;389;666;Recherches et calculs sur la vraie orbite elliptique de le comète de l'an 1769 et son tems périodique;Research and calculations on the true elliptical orbit of the comet of the year 1769 and its orbital period;Leonhard Euler;French;Journal book;1770;1770;St. Petersburg: Imperial Academy of Sciences, pp. 1-159.;;;Series 2, Volume 28, pp.269-314.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/389;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1388&context=euler-works
389;390;392;Considerationes de traiectoriis orthogonalibus;Considerations of orthogonal trajectories;Leonhard Euler;Latin;Journal article;1770;1768;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 104-128.;;;Series 1, Volume 28, pp.99-119.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/390;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1389&context=euler-works
390;391;280;De formulis integralibus duplicatis;On double integral formulas;Leonhard Euler;Latin;Journal article;1770;1768;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 72-103.;;Euler investigates the theory of double integrals.;Series 1, Volume 17, pp.289-315.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/391;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1390&context=euler-works
391;392;434;Evolutio insignis paradoxi circa aequatlitatem superficierum;Development of a notable paradox concerning the equality of surfaces;Leonhard Euler;Latin;Journal article;1770;1768;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 46-71.;;The paradox consists of showing that for infinitely many different surfaces, the surface element √(1+p2+q2) dx dy can have the same form.;Series 1, Volume 28, pp.120-141.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/392;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1391&context=euler-works
392;393;183;De summis serierum numeros Bernoullianos involventium;On the sum of series involving the Bernoulli numbers;Leonhard Euler;Latin;Journal article;1770;1768;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 129-167.;;E212;Series 1, Volume 15, pp.91-130.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/393;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1392&context=euler-works
393;394;34;De partitione numerorum in partes tam numero quam specie datas;On the partition of numbers into a number of parts of a given type;Leonhard Euler;Latin;Journal article;1770;1768;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 168-187.;;This paper examines partitions into certain numbers or parts and into parts of certain sizes. Euler uses his peculiar exponential notation again.;Series 1, Volume 3, pp.131-147.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/394;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1393&context=euler-works
394;395;140;De inventione quotumque mediarum proportionalium citra radicum extractionere;On finding however many mean proportionals without regard to extraction of roots;Leonhard Euler;Latin;Journal article;1770;1768;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 188-214.;;;Series 1, Volume 6, pp.240-262.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/395;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1394&context=euler-works
395;396;567;Sectio secunda de principiis motus fluidorum;Section two of Principles of Fluid Motion;Leonhard Euler;Latin;Journal article;1770;1766;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 270-386.;;E258;Series 2, Volume 13, pp.73-153.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/396;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1395&context=euler-works
396;397;668;Expositio methodorum, cum pro determinanda parallaxi solis ex observato transitu Veneris per solem, tum pro inveniendis longitudinibus locorum super terra, ex observationibus eclipsium solis, una cum calculis et conclusionibus inde deductis;Exposition of methods, not only for determining the parallax of the sun from an observed transit of Venus across the sun, but also for finding longitudes of places on the earth from observations of eclipses of the sun, together with calculations and conclusions deduced therefrom;Leonhard Euler;Latin;Journal article;1770;1770;Novi Commentarii academiae scientiarum Petropolitanae, Volume 14, pp. 322-554.;It is indicated in the dissertation summary that all of these treatises were written by Euler.;"This work is a collection of four treatises with separate titles, namely: ""Methodus ex observato transitu Veneris per solem, inveniendi parallaxin solis"" (pp. 322-334); ""Methodus ex eclipsi solari in pluribus locis observata, elementa motus lunae, hincque longitudinem locorum, super terra accurate determinandi"" (pp. 335-349); ""Calculus eclipsis solaris cum conclusionibus inde deductis pro determinationibus longitudinum geographicarum"" (pp. 350-420); ""Calculus observationum circa transitum Veneris per solem institutarum"" (pp. 421-554).";Series 2, Volume 30, pp.153-231.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/397;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1396&context=euler-works
397;398;611;Nouvelle méthode de déterminer les dérangemens dans le mouvement des corps célestes, causés par leur action mutuelle;New method to determine the perturbations in the motion of heavenly bodies, caused by their mutual attraction;Leonhard Euler;French;Journal article;1770;1762;Mémoires de l'académie des sciences de Berlin, Volume 19, pp. 141-179.;;"“Methodus ex observato transitu Veneris per solem, inveniendi parallaxin solis” (pp. 322-334); “Methodus ex eclipsi solari in pluribus locis observata, elementa motus lunae, hincque longitudinem locorum, super terra accurate determinandi” (pp. 335-349); “Calculus eclipsis solaris cum conclusionibus inde deductis pro determinationibus longitudinum geographicarum” (pp. 350-420); “Calculus observationum circa transitum Veneris per solem institutarum” (pp. 421-554).";Series 2, Volume 26.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/398;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1397&context=euler-works
398;399;644;Réflexions sur les diverses manières dont on peut représenter le mouvement de la lune;Reflections on the different ways by which one can describe the motion of the moon;Leonhard Euler;French;Journal article;1770;1763;Mémoires de l'académie des sciences de Berlin, Volume 19, pp. 180-193.;;;Series 2, Volume 24.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/399;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1398&context=euler-works
399;400;540;Considérations sur le problème des trois corps;Thoughts on the three body problem;Leonhard Euler;French;Journal article;1770;1765;Mémoires de l'académie des sciences de Berlin, Volume 19, pp. 194-220.;;;Series 2, Volume 26.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/400;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1399&context=euler-works
400;401;654;Nouvelle manière de comparer les observations de la lune avec la théorie;A new way to compare the observations of the moon with the theory;Leonhard Euler;French;Journal article;1770;1766;Mémoires de l'académie des sciences de Berlin, Volume 19, pp. 221-234.;;;Series 2, Volume 24, pp.90-100.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/401;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1400&context=euler-works
401;402;656;Du mouvement des absides des satellites de Jupiter;On the movement of the apsides of the moons of Jupiter;Leonhard Euler;French;Journal article;1770;1759;Mémoires de l'académie des sciences de Berlin, Volume 19, pp. 311-338.;;;Series 2, Volume 26.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/402;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1401&context=euler-works
402;403;;Des Herrn Leonhard Eulers nothige Berechnung zur Einrichtung einer Witwencasse;Herr Leonhard Euler's necessary computation for the establishment of a widows-fund;Leonhard Euler;German;Magazine article;1770;1769;Neues Hamburgisches Magazin, Volume 8, pp. 3-13.;;;Series 1, Volume 7, pp.153-161.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/403;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1402&context=euler-works
403;404;689c;Dioptricae pars tertia;Optics, part 3;Leonhard Euler;Latin;Quarto book;1771;1768;St. Petersburg: Imperial Academy of Sciences, Volume 2, pp. 1-440.;;"In addition to an introduction, part 3 of Dioptricae contains four sections: (I) De microscopiis simplicibus; (II) De microscopiis compositis, in quibus unica imago realis occurit; (III) De microscopiis compositis, in quibus unica imago realis occurrit: quo omnia microscopia hucusque usitata sunt referenda; (IV) de microscopiis compositis, in quibus duae imagines reales occurrunt.";Series 3, Volume 4, pp.197-543.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/404;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1403&context=euler-works
404;405;65;Solutio problematis, quo duo quaeruntur numeri, quorum productum tam summa quam differentia eorum sive auctum sive minutum fiat quadratum;A solution of a problem about two numbers which are searched for, of which their product, increased or decreased by their sum or difference, will be a square;Leonhard Euler;Latin;Journal article;1771;1770;Novi Commentarii academiae scientiarum Petropolitanae, Volume 15, pp. 29-50.;;Euler wants to find numbers a and b so that the following four quantities are all squares: ab+a+b, ab+a–b, ab–a+b, and ab–a–b.;Series 1, Volume 3, pp.148-171.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/405;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1404&context=euler-works
405;406;112;Observationes circa radices aequationum;Observations about the roots of equations;Leonhard Euler;Latin;Journal article;1771;1771;Novi Commentarii academiae scientiarum Petropolitanae, Volume 15, pp. 51-74.;;According to Eneström, this work concerns the formula for the sum of the pth power of the roots of an nth-order algebraic equation. Euler also looks at the meaning of this formula when the sequence that occurs in it is continued to infinity. Additionally, he considers the solution of trinomial equations, along with the correlation between ordinary equations and differential equations.;Series 1, Volume 6, pp.263-286.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/406;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1405&context=euler-works
406;407;83;Problema algebraicum ob affectiones prorsus singulares memorabile;An algebraic problem that is notable for some quite extraordinary relations;Leonhard Euler;Latin;Journal article;1771;1770;Novi Commentarii academiae scientiarum Petropolitanae, Volume 15, pp. 75-106.;;Eneström says that this work contains orthogonality conditions for rectangular corrdinates in space. He also says that Euler will express the coefficients of linear homogeneous transformations that let a sum of n square numbers remain constant using trigonometric functions for n = 3, 4, and 5, and also using rational parametric functions for n = 3 and 4.;Series 1, Volume 6, pp.287-315.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/407;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1406&context=euler-works
407;408;405;De curva rectificabili in superficie sphaerica;On rectifiable curves on spherical surfaces;Leonhard Euler;Latin;Journal article;1771;1770;Novi Commentarii academiae scientiarum Petropolitanae, Volume 15, pp. 195-216.;;;Series 1, Volume 28, pp.142-160.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/408;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1407&context=euler-works
408;409;568;Sectio tertia de motu fluidorum lineari potissimum aquae;The third chapter on the linear motion of fluids;Leonhard Euler;Latin;Journal article;1771;1766;Novi Commentarii academiae scientiarum Petropolitanae, Volume 15, pp. 219-360.;;E258;Series 2, Volume 13, pp.154-261.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/409;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1408&context=euler-works
409;410;453;Genuina principia doctrinae de statu aequilibrii et motu corporum tam perfecte flesibilium quam elasticorum;Natural basic principles of the study of the state of equilibrium, and the motion, of bodies that are both perfectly flexible and elastic;Leonhard Euler;Latin;Journal article;1771;1771;Novi Commentarii academiae scientiarum Petropolitanae, Volume 15, pp. 381-413.;;E481;Series 2, Volume 11, pp.37-61.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/410;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1409&context=euler-works
410;411;603;De ictu glandium contra tabulam explosarum;On the impact of bullets exploded against a plate;Leonhard Euler;Latin;Journal article;1771;1771;Novi Commentarii academiae scientiarum Petropolitanae, Volume 15, pp. 414-436.;;E77;Series 2, Volume 14, pp.448-467.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/411;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1410&context=euler-works
411;412;293;Solution d'une question tres difficile dans le calcul des probabilités;Solution to a very difficult question in the calculus of probabilities;Leonhard Euler;French;Journal article;1771;1770;Mémoires de l'académie des sciences de Berlin, Volume 25, pp. 285-302.;;E338;Series 1, Volume 7, pp.162-179.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/412;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1411&context=euler-works
412;413;598;De promotione navium sine vi venti (Mémoire sur la manière de suppléer à l'action du vent sur les grands vaisseaux);On the movement of ships without the force of the wind;Leonhard Euler;Latin;Paris prize article;1771;1752;Recueil des pièces qui ont remporté les prix de l'académie royale des sciences, Volume 8, pp. 1-47.;;"This work was submitted to the Paris Academy Prize Competition for 1753. Euler analyzes various ways of propelling ships, including paddle wheels, screw propellers, and water jets. He applies his field theory of hydrodynamics to the problem. He was awarded an ""Accessit"" (""honorable mention"") for this work.";Series 2, Volume 20, pp.190-228.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/413;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1412&context=euler-works
413;414;617;Investigatio perturbationum quibus planetarum motus ob actionem eorum mutuam afficiuntur.;An investigation of the perturbations by which the motions of the planets are---on account of their action upon one another---affected;Leonhard Euler;Latin;Paris prize article;1771;1755;Recueil des pièces qui ont remporté les prix de l'académie royale des sciences, Volume 8, pp. 1-138.;According to Eneström, this work is 138 pages long. The Euler Archive PDF is 113 pages long.;;Series 2, Volume 26.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/414;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1413&context=euler-works
414;415;596;Sur le roulis et le tangage;On pitch and roll;Leonhard Euler;French;Paris prize article;1771;1758;Recueil des pièces qui ont remporté les prix de l'académie royale des sciences, Volume 8, pp. 1-47.;;;Series 2, Volume 21, pp.1-30.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/415;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1414&context=euler-works
415;416;;Meditationes in quaestionem utrum motus medius planetarum semper maneat aeque velox, an successu temporis quampiam mutationem patiatur? & quaenam sit ejus causa? …;Reflections on the question: Does the medial motion of the planets remain at constant speed, or does it, in the course of time, undergo some change? And what might be the cause of this?;Leonhard Euler;Latin;Paris prize article;1771;1759;Recueil des pièces qui ont remporté les prix de l'académie royale des sciences, Volume 8, pp. 1-44.;;;Series 2, Volume 27.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/416;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1415&context=euler-works
416;417;749c;Lettres a une princesse d'Allemagne sur divers sujets de physique & de philosophie;Letters to a German princess on various topics in physics and philosophy;Leonhard Euler;French;Octavo book;1772;1762;St. Petersburg: Imperial Academy of Sciences, Volume 3, pp. 1-404.;The Euler Archive also has a PDF of Brewster's 1823 English translation.;E343;Series 3, Volume 11, pp.1-312.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/417;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1416&context=euler-works
